Question_Title,Question_ID,Author_Name,Author_ID,Author_Rep,Question_Post_Time,Question_Score,Number_Of_Views,Number_Of_Answers,Number_Of_Comments,"Edited,","Answer_Accepted,",Tags,Question_Closed
Changing number of arguments of a function,443036,awakened,424831,97,2022-12-26 02:41:33,7,2000,9,3,True,True,"['design', 'c++', 'backward-compatibility']",False
Unity ScriptableObject vs Abstract class for Spells,443035,Jeff,67306,1854,2022-12-25 23:03:30,0,74,0,2,False,False,"['abstract-class', 'unity3d']",False
"Cache publishing updates, or clients polling the cache?",443028,pyWalker2797,413918,119,2022-12-24 22:51:56,1,54,0,0,True,False,"['microservices', 'caching']",False
Is CQRS applicable with total ordered views and sharding?,443023,Samuel Squire,418912,101,2022-12-24 11:17:32,0,38,0,4,True,False,"['architecture', 'performance', 'cqrs']",False
How is processing done when streaming data?,443015,Finlay Weber,370485,161,2022-12-23 14:52:05,2,591,4,0,False,True,"['stream-processing', 'streaming']",False
UML Diagram double arrow,443012,Nordin,424763,31,2022-12-23 09:25:59,2,151,1,1,True,True,"['design', 'c#', 'uml', 'mvvm', 'class-diagram']",False
Unit testing 'opaque' classes / structs,443006,Derek C.,359821,573,2022-12-22 22:37:09,0,72,2,6,False,False,"['unit-testing', 'c']",False
"Azure Function App and multiple Functions within it, performance",443002,user8400863,424727,119,2022-12-22 21:20:15,0,170,1,3,True,True,"['c#', '.net', 'azure']",False
String representation in Python runtimes,442995,Matheus Dias de Souza,418820,21,2022-12-22 15:50:29,1,164,2,4,False,True,"['python', 'optimization', 'strings']",False
Implement message queue in API Gateway,442992,Rex Low,424734,119,2022-12-22 14:33:38,1,117,2,1,False,False,"['architecture', 'architectural-patterns', 'message-queue', 'api-gateway']",False
How to add methods in a class that uses other classes in UML class diagrams?,442986,SSSOF,424729,13,2022-12-22 12:01:38,-2,56,1,0,False,True,"['uml', 'class-diagram', 'diagrams']",False
Azure Function SQL polling Vs Service Bus. How reliable is Service bus? Does it ever fail?,442985,user8400863,424727,119,2022-12-22 11:13:54,0,103,2,10,False,False,"['c#', 'azure', 'service-bus']",False
Can I use a session cookie for API authentication?,442984,Damien Monni,424723,101,2022-12-22 10:27:39,0,100,1,7,False,False,"['api', 'security', 'authentication', 'cookies', 'single-page-apps']",False
Branching strategy for developing multiple features at the same time,442982,Kdaydin,424716,135,2022-12-22 08:37:54,1,151,1,4,False,False,"['git', 'branching', 'gitflow', 'strategy']",False
How to create an interface in C that can work on two identical structs with differently named fields,442975,Shadow43375,424698,121,2022-12-21 20:24:07,1,149,2,0,False,True,"['design-patterns', 'object-oriented', 'c', 'data-structures', 'interfaces']",False
Extract common code into own module,442973,wand555,424688,11,2022-12-21 16:13:23,1,149,1,2,False,False,"['java', 'architecture', 'maven', 'javafx']",False
GitLab repo architecture checks: on server or in CI?,442970,vvvvv,358921,129,2022-12-21 15:41:06,0,65,0,2,False,False,"['architecture', 'git', 'continuous-integration', 'gitlab']",False
What is an apporpriate design pattern when dealing with Pandas and databases?,442967,highviolet,424681,13,2022-12-21 14:27:41,1,80,1,17,True,True,"['design-patterns', 'database', 'python', 'data-access']",False
"Deal with users, permission and groups in DDD",442966,Samuel Verdejo de Toro,424680,11,2022-12-21 14:24:10,1,57,0,2,True,False,"['domain-driven-design', 'permissions']",False
What are the typical properties of dependency graphs?,442965,Zur Luria,348473,113,2022-12-21 12:57:05,0,26,0,4,False,False,['parallel-programming'],False
"Elegant way to handle two options, when both is also an option",442964,QuantumChris,338584,119,2022-12-21 11:23:15,1,150,1,10,True,False,"['python', 'enum', 'dictionary']",False
Selecting the endianness of data in files generated by an embedded system,442959,9a3eedi,124792,2111,2022-12-21 09:45:36,1,50,1,0,False,True,"['embedded-systems', 'file-handling', 'file-structure', 'file-formats', 'endianness']",False
Join databases in many services,442953,Saeed,409525,109,2022-12-21 06:10:54,0,63,1,1,True,False,['microservices'],False
Is there some easy way to refactor deeply coupled python code,442951,zhang,424658,11,2022-12-21 03:43:53,0,141,2,6,True,True,"['python', 'coding-style', 'clean-code']",False
How a VPS processes an incoming packet (conceptually),442947,user7088941,302625,569,2022-12-20 17:23:27,1,79,2,0,True,False,"['client-server', 'concepts', 'virtual-machine']",False
Design a model for a user,442946,Maor,395552,121,2022-12-20 16:47:31,1,65,1,0,False,False,"['design', 'mobile', 'modeling', 'application-design']",False
"How to be productive around constant 4-6 min interruptions while ""slow"" code runs?",442938,MYK,410059,303,2022-12-20 12:24:00,7,478,5,3,True,False,"['development-process', 'productivity', 'self-improvement']",False
"How can we remove business logic from the frontend for complex, highly interactive UI's? Should business logic always live exclusively on the backend?",442935,MSOACC,217506,925,2022-12-20 09:58:28,2,123,1,1,False,False,"['domain-driven-design', 'front-end', 'coupling', 'backend']",False
Looking for arguments: who decides about network connection technology: customer or supplier,442934,Dominique,250257,1699,2022-12-20 09:56:55,-3,87,1,2,True,True,"['networking', 'client-relations']",False
Python Typechecking versus TypedDicts?,442918,a.t.,319460,215,2022-12-19 13:29:57,1,88,0,1,True,False,"['design-patterns', 'python', 'functions', 'type-systems']",False
What is the difference between trunk based development and gitflow?,442910,RoboShop,3214,2740,2022-12-19 12:19:59,2,281,3,1,False,False,"['git', 'gitflow']",False
Can it be acceptable to construct SQL queries dynamically?,442907,Thomas,424590,185,2022-12-19 11:43:05,15,7000,9,2,False,True,"['c#', 'sql', 'mysql']",False
"What is the terminology for ""two or more different ways to represent the same data?""",442898,Anthony Kong,15257,371,2022-12-18 13:59:39,2,211,4,1,True,True,['concepts'],False
API for a statefull AI server,442892,Karol Borkowski,419212,127,2022-12-17 15:12:52,0,86,1,1,True,False,"['api', 'server', 'artificial-intelligence', 'machine-learning']",False
Sharing a data class in a flow,442884,tqw,285288,131,2022-12-16 22:13:26,2,88,2,0,True,True,"['design', 'design-patterns', 'object-oriented-design']",False
Explain forbidden inheritance across the domain dimensions of representation/implementation vs semantics,442878,kosa,412021,159,2022-12-16 16:23:53,2,165,2,3,True,True,"['object-oriented', 'inheritance']",False
How should factored-out code be tested as part of the TDD refactoring step?,442852,Rob Gilton,215138,241,2022-12-15 12:44:38,13,2000,4,5,True,False,"['refactoring', 'tdd']",False
"Is it better to iterate over data once and do multiple complex operations, or to iterate multiple times with simpler operations?",442849,L'Animal Fou,424423,59,2022-12-15 11:32:52,5,309,4,6,True,False,"['python', 'optimization']",False
C# Source Generator : which way to go for a simple GitHub Community Project,442847,Lionel du Peloux,424264,37,2022-12-15 09:53:28,1,177,1,2,False,False,"['c#', 'github', 'code-generation', 'msbuild']",False
Is this really loosely coupled?,442845,Optimus,424421,111,2022-12-15 08:52:15,1,228,3,1,False,False,"['c#', 'object-oriented']",False
Converting Dynamic Typing To Static Programatically,442839,exxjob,422890,39,2022-12-15 00:08:17,3,390,5,5,True,False,"['type-systems', 'dynamic-typing', 'static-typing', 'duck-typing', 'type-theory']",False
How do you go from specification to implementation in a systematic way?,442838,Violet Giraffe,29016,274,2022-12-14 23:44:38,2,230,3,3,True,False,['programming-practices'],False
Should SPA talk to auth server directly or resource server?,442834,TruckDriver,424395,109,2022-12-14 19:01:24,0,75,1,2,False,False,"['architecture', 'oauth2', 'single-page-apps']",False
Best Practice - Avoid naming class and field the same?,442830,bubbletea,424381,347,2022-12-14 15:43:05,23,5000,5,10,True,False,"['naming', 'class-design', 'naming-standards']",False
How to improve the Mediator algorithm when new widgets are added?,442827,Leili Vazietan,424373,11,2022-12-14 14:17:30,0,49,0,0,False,False,"['design', 'design-patterns', 'programming-practices', 'programming-languages', 'patterns-and-practices']",False
Is inheriting from a non-abstract class bad OOP?,442823,Eoin,362532,309,2022-12-14 09:17:33,8,499,4,3,False,True,['object-oriented'],False
How much logic can the infrastructure level hold in Clean Architecture,442819,lemerek759,424327,29,2022-12-13 22:04:13,2,139,1,2,False,False,"['design', 'clean-architecture']",False
What's a good way to represent CRUD urls that require a parent id to work?,442818,Joshua Frank,59124,599,2022-12-13 21:30:11,0,56,0,0,True,False,['url'],False
Should we process data in the transmitter class or in the receiver class?,442812,Tesla123,424315,139,2022-12-13 16:31:45,3,82,1,0,False,False,['design'],False
How to avoid code duplication when else and except are the same?,442809,Jann Poppinga,380498,159,2022-12-13 13:17:53,3,451,4,1,False,True,"['python', 'exceptions']",False
"Cron job to read multiple ""entities"" from the database",442802,Manuelarte,255453,103,2022-12-13 08:07:51,0,87,1,3,True,True,"['design', 'cron', 'golang']",False
How do I guarantee ordered processing of occurring events in concurrent environment?,442798,svz,98079,317,2022-12-12 21:33:43,1,85,2,2,False,False,"['design', 'architecture', 'concurrency', 'synchronization', 'multiprocessing']",False
Conditional mutex locking,442794,string_loginUsername,376456,101,2022-12-12 20:06:40,0,31,0,0,True,False,"['microservices', 'synchronization', 'asynchronous-programming', 'locks']",False
"Does a monolithic ""main"" class make sense?",442792,Ignorant,261929,357,2022-12-12 18:31:16,0,153,1,4,True,False,"['architecture', 'language-agnostic']",False
Best way to provide default objects from a simple class in C#,442788,Lionel du Peloux,424264,37,2022-12-12 14:29:41,1,197,3,0,False,False,"['c#', 'design-patterns', 'architecture']",False
How to handle i18n on a microservice architecture project?,442782,Blastcore,56222,151,2022-12-11 22:20:42,1,169,1,1,True,True,"['python', 'microservices', 'internationalization']",False
Accessing enemies' locations quickly in a 2D game,442777,MaLa,381604,320,2022-12-11 16:58:04,16,6000,6,6,False,True,"['design-patterns', 'performance']",False
"Strategy for deploying code internally and externally with common code base, but different functionality",442773,arc_lupus,171541,131,2022-12-11 12:56:58,2,92,1,3,True,False,"['python', 'version-control', 'deployment']",False
"What are some considerations when deciding to fix a bug, or rewrite the code in question?",442772,knart,424221,127,2022-12-11 12:08:32,1,266,5,4,False,False,"['refactoring', 'debugging', 'rewrite']",False
Rendering large list with search functionality,442768,mihir jain,424211,19,2022-12-11 07:38:42,1,34,0,1,False,False,"['design', 'search', 'front-end', 'dom']",False
Workflow suggestions: Editing on one computer while running on another?,442767,Ari Herman,424210,107,2022-12-11 05:19:25,-1,93,1,0,False,False,"['development-process', 'github', 'workflows', 'remote-desktop']",False
How can I enable user data sovereignty in a B2B SaaS application?,442759,Dennis,424183,13,2022-12-10 09:10:43,1,91,2,10,False,True,"['security', 'application-design', 'software-as-a-service', 'strategy', 'privacy']",False
How to maintain multiple release branches simulateously (git),442752,Travis Parks,79611,2485,2022-12-09 21:00:14,2,164,3,7,False,False,"['git', 'branching', 'release-management']",False
Strategies to abstract away technical details when dealing with transactions,442749,caeus,195963,129,2022-12-09 19:48:02,1,70,2,4,False,False,"['abstraction', 'business-logic', 'transaction', 'scope', 'scope-creep']",False
Haskell where clause: is it more than just a matter of taste?,442740,ceving,96131,381,2022-12-09 08:28:52,0,113,0,0,False,False,"['programming-languages', 'haskell', 'scheme', 'pascal']",False
Optimised MongoDB design for access control at project/organisation level,442739,Shashank Agrawal,265823,111,2022-12-09 08:23:59,1,19,0,2,False,False,"['database-design', 'mongodb', 'access-control']",False
Can I separate methods into different classes by passing in constructor properties from one class to another?,442736,Kevin Greetham,422708,93,2022-12-09 00:41:48,1,124,1,2,False,True,"['object-oriented', 'javascript', 'class', 'single-responsibility']",False
DDD: Can application services throw domain errors?,442731,Gabriel Morishita,424127,23,2022-12-08 16:39:19,2,219,1,17,True,True,"['design-patterns', 'architecture', 'domain-driven-design', 'patterns-and-practices', 'domain-objects']",False
How to develop data bound html with strong typing and intellisense?,442730,Joshua Frank,59124,599,2022-12-08 16:09:39,1,32,0,2,True,False,"['javascript', 'web-development', 'html', 'templates', 'intellisense']",False
ASP.NET MVC use ViewModels with Services,442729,Sam,414073,37,2022-12-08 14:58:32,1,38,0,4,False,False,"['architecture', 'mvc', 'asp.net-mvc', 'layers']",False
Best practices repository and service layer,442728,Alfons Deda,423391,31,2022-12-08 14:25:11,1,438,1,10,True,True,"['c#', 'domain-driven-design', 'cqrs', 'repository-pattern']",False
"Model events according to service internal domain model, or a shared model?",442725,viblo,266886,101,2022-12-08 10:59:23,0,70,1,0,False,False,"['architecture', 'domain-driven-design', 'microservices', 'event-programming']",False
Is it OK to commit code written by a large model such as ChatGPT or Github Copilot? [closed],442715,gaazkam,212639,3399,2022-12-07 22:40:26,-1,299,1,1,True,False,"['artificial-intelligence', 'tools']",True
Confused about how to test Python scripts that install and configure a development setup on OSX (VMware? Docker-OSX?),442714,Andrew Cheong,51082,425,2022-12-07 19:20:44,3,70,0,6,True,False,"['python', 'testing', 'docker', 'virtualization', 'osx']",False
Is this a good use of events?,442708,Puck,360488,45,2022-12-07 14:17:32,1,146,1,0,True,True,"['design', 'design-patterns', 'architecture', 'microservices', 'event']",False
Triggers and network performance,442699,Sunil Gupta,424036,119,2022-12-06 19:12:08,1,104,3,0,False,False,['database-design'],False
Term for type information from C Source Code,442693,Marco,131669,294,2022-12-06 14:22:00,4,264,2,3,True,False,"['c', 'naming', 'documentation']",False
Haskell: Data Modeling an Internal App that Interfaces with a 3rd-Party Library?,442688,Acy,406468,111,2022-12-06 06:59:26,1,47,0,1,False,False,"['haskell', 'type-systems', 'data-types']",False
What should my next SemVer version number be?,442681,Kyle Vassella,288601,111,2022-12-06 02:48:48,-2,163,2,2,True,True,"['web-development', 'front-end', 'semantic-versioning', 'devops', 'software-updates']",False
Micro-Services: How to avoid repeated polling of the same event from Kafka,442680,User27854,423745,111,2022-12-06 00:43:41,1,46,0,1,True,False,"['microservices', 'apache-kafka']",False
Is there a UML symbol representing instantiation? This one doesn't seem to be one,442668,JJJohn,339329,111,2022-12-05 12:25:14,0,116,2,1,False,True,"['object-oriented', 'object-oriented-design', 'uml']",False
To decouple or not to decouple? That could be the question,442667,KDW,331862,154,2022-12-05 11:12:27,2,238,3,2,False,False,"['domain-driven-design', 'microservices']",False
Plugin system for app with microservice architecture,442664,Mehran Prs,364374,121,2022-12-05 09:21:21,2,95,2,1,True,False,"['architecture', 'microservices', 'plugin-architecture']",False
How to label backwards incompatible changes which change the API but don't add a feature?,442652,Clara,305816,53,2022-12-05 00:59:35,4,278,1,1,True,True,"['git', 'version-control', 'coding-standards']",False
Should I have different instances of the same model in an application or just keep a single instance?,442648,Lucas,423927,149,2022-12-04 19:49:58,4,99,1,0,True,False,"['design-patterns', 'architecture', 'mvvm', 'model', 'swift-language']",False
Is it good design to have a repository update multiple entities?,442643,user2190492,352709,331,2022-12-04 16:46:08,2,231,2,3,True,False,"['design', 'design-patterns', 'php', 'repository', 'laravel']",False
Why can't a mutable interface/class inherit from an immutable one?,442640,GlenPeterson,62323,14800,2022-12-04 14:23:41,15,6000,6,5,True,False,"['object-oriented', 'inheritance', 'immutability']",False
Crossbrowser testing FrontEnd apps in 2022,442637,Haim,423912,19,2022-12-04 09:46:39,1,59,2,6,True,False,"['javascript', 'css', 'front-end', 'cross-browser']",False
Does my outer class adhere to the Single Responsibility Principle?,442632,Kevin Greetham,422708,93,2022-12-04 01:53:26,5,242,4,2,False,False,"['object-oriented', 'javascript', 'mvc', 'solid', 'single-responsibility']",False
Is it a good idea to design a database based on the API response data types?,442626,Invalid Name,Invalid ID,Invalid Rep,2022-12-03 20:53:23,2,93,2,1,False,False,"['mysql', 'database-design', 'api-design']",False
How to avoid class-proliferation when creating a unit-testable system?,442620,Pablo,423890,29,2022-12-03 14:02:00,2,144,1,5,True,False,"['c++', 'unit-testing', 'tdd', 'test-automation']",False
"SQL - store ""like"" counts as separate column or infer from a query?",442606,Leftover Salad,382678,153,2022-12-02 20:40:30,1,60,1,3,True,False,"['database-design', 'sql', 'postgres']",False
Best way to type-differentiate a Point and Vector?,442604,SRSR333,362678,315,2022-12-02 17:19:52,1,174,1,2,False,False,"['c++', 'type-systems', 'graphics']",False
onion architecture - calling external APIs,442602,dot,78102,491,2022-12-02 16:59:53,1,158,1,10,True,True,"['c#', 'architecture', 'object-oriented', 'web-api', 'onion-architecture']",False
What is the most efficient way to continue developing a piece of software in the long-term?,442594,simonp2207,423847,521,2022-12-02 14:37:28,41,6000,11,0,False,False,"['development-process', 'code-quality', 'coding']",False
How to provide test code for manual testing?,442591,LWChris,423842,129,2022-12-02 13:32:50,2,84,2,3,False,False,"['c#', 'testing', 'manual-testing']",False
"Why is C# considered a statically-typed language, although it contains keywords such as `dynamic` and `var`?",442588,X Y,390741,311,2022-12-02 11:51:17,5,4000,5,2,False,True,"['c#', 'static-typing', 'dynamic']",False
Use case diagram feedback; is this correct?,442583,Joe,423813,11,2022-12-02 03:33:57,0,73,2,0,True,True,"['uml', 'use-case']",False
When implementing Branch For Release in Trunk Based Development how should version info be updated? [duplicate],442581,Thomas Brown,423809,21,2022-12-01 20:16:37,1,32,0,0,False,False,['git'],False
How to port multiple measurements for multiple assets to MongoDB timeseries?,442573,tommy1213,423799,1,2022-12-01 16:11:03,0,13,0,1,False,False,"['mongodb', 'rust']",False
What does it mean the fish objects on the architecture diagram? [closed],442571,J.J. Beam,325643,451,2022-12-01 15:34:14,0,68,1,3,True,True,"['enterprise-architecture', 'diagrams', 'data-flow-diagram']",True
C# Duplicated usage of an if/else condition and a ternary operator. A good practice?,442569,Chams,423794,29,2022-12-01 13:04:16,2,205,3,2,False,False,"['c#', 'programming-practices', '.net', '.net-core', 'operators']",False
How are parameters values passed into a MVC controller constructor?,442560,Jeb50,423771,101,2022-12-01 01:30:55,-1,364,1,0,True,True,"['c#', '.net', 'asp.net-mvc', 'constructors']",False
"In Clean Architecture, how do we name UseCases that get more and more specific without the names becoming too long?",442559,MSOACC,217506,925,2022-12-01 01:20:27,1,92,1,4,True,True,"['use-case', 'clean-architecture', 'hexagonal-architecture']",False
Modeling properties of related entities,442556,salparadise,154140,173,2022-11-30 17:37:52,1,83,1,0,False,True,"['database-design', 'api', 'modeling', 'iot']",False
"How to structure an ERP system in a modular way, with module hierarchy and where do application layers stand in this?",442554,Emre Can Serteli,423747,121,2022-11-30 14:53:12,2,44,0,1,True,False,"['integration-tests', 'layers', 'modules', 'integration', 'erp']",False
Microservice & Clients interaction : Best way to persist previous API state information in successive API calls,442551,addy,373960,1,2022-11-30 12:43:07,0,73,1,6,False,False,"['microservices', 'applications', 'client']",False
Microservice architecture but with strong data consistency [closed],442550,JavaLearner,392324,139,2022-11-30 11:41:10,3,185,0,3,True,False,"['microservices', 'distributed-system', 'eventual-consistency']",True
Typescript Clean Architecture: How to tackle use case that needs multiple repositories?,442548,z0mbieKale,360201,129,2022-11-30 09:49:21,1,89,0,4,False,False,"['clean-code', 'clean-architecture']",False
physical simulation: design thoughts,442542,Meck3l,423725,21,2022-11-30 01:21:10,2,115,2,1,False,False,"['design', 'design-patterns', 'object-oriented', 'interfaces', 'simulation']",False
How is double-spending technically prevented in traditional banking? [closed],442535,Dawid,418436,119,2022-11-29 17:45:00,0,133,3,0,False,True,"['database', 'database-design', 'relational-database', 'payment']",True
Creating a new type as slice of strings in Rust?,442532,Daniel,291010,119,2022-11-29 15:37:09,1,84,1,10,False,False,"['object-oriented-design', 'go', 'rust']",False
Why is that (all) database authentication is still done with usernames and passwords? [closed],442524,Swiffy,208431,93,2022-11-29 10:13:11,-4,95,1,7,False,False,['database'],True
Is there any value for a repository to return an iterator rather than a list?,442521,Claudiu Creanga,144356,298,2022-11-29 09:22:52,1,171,3,4,False,True,['repository'],False
Is it practical to cache multiple instances of variable API data (updates hourly for each instance) for N users?,442518,joepaji,423688,1,2022-11-29 06:10:23,-1,48,1,0,False,False,"['python', 'optimization', 'caching', 'flask']",False
What's the proper response when I try to update an existing entity but with not found parent ID,442514,Leo von Barbarosa,350133,123,2022-11-28 21:48:22,2,173,2,2,False,True,"['rest', 'api', 'api-design', 'http-request', 'http-response']",False
Can we use external parties as objects in a sequence diagram?,442508,Malinsha Vithanage,423668,31,2022-11-28 18:41:38,2,63,1,2,False,False,"['object-oriented-design', 'uml', 'sequence-diagram']",False
"Does ""happy path to the left edge"" break Python conventions?",442507,lofidevops,11306,261,2022-11-28 16:54:47,1,174,1,17,True,False,"['python', 'coding-style', 'readability']",False
"In DDD, must a Value Object turn into an Entity when some limited idenifiablity is required?",442504,Erik Hofer,242821,109,2022-11-28 16:27:19,0,72,1,2,True,False,"['design', 'domain-driven-design', 'entity', 'value-object']",False
Liskov Substitution Principle Edge Case,442497,Shahbaz Khan,273302,19,2022-11-28 13:27:28,-1,157,2,4,False,True,"['object-oriented-design', 'solid', 'liskov-substitution', 'ooad']",False
Using class attributes as globals in Python - is there a catch?,442495,Alias_Knagg,423549,111,2022-11-28 12:35:28,1,94,2,10,True,False,"['python', 'singleton', 'globals']",False
Server-side Long Running Tasks,442480,Gr3at,387652,9,2022-11-27 14:39:00,0,165,1,0,False,False,"['architecture', 'microservices', 'architectural-patterns', 'service-workers']",False
"Where to place ""Backend for Frontend"" logic in a DDD system",442477,DaDaDom,8608,101,2022-11-27 12:24:50,0,197,1,1,True,False,"['architecture', 'domain-driven-design', 'front-end']",False
The dependence of the implementation of one class on the implementation of another class,442476,Alexey Ismagilov,412077,101,2022-11-27 11:02:36,0,71,1,6,True,False,"['architecture', 'design-principles']",False
Attribute Driven Design,442472,Jared Schreiber,421743,47,2022-11-27 05:47:42,0,93,2,0,True,False,"['design', 'architecture', 'methodology']",False
"What is the relationship between variance, generic interfaces, and input/output?",442469,Ramza,421200,41,2022-11-26 22:47:28,3,692,3,0,False,True,"['c#', 'interfaces', 'type-systems', 'generics']",False
Path coverage and decomposition,442465,AlwaysLearning,216771,523,2022-11-26 17:15:27,0,57,1,3,True,False,['unit-testing'],False
RESTful Batch Delete,442463,Geeson,423592,13,2022-11-26 16:06:29,0,144,4,1,False,True,"['rest', 'api', 'api-design']",False
How do I make conditional queries within DDD logic,442458,Kostas Xagoraris,423531,11,2022-11-25 18:25:03,0,108,1,2,True,True,"['domain-driven-design', 'cqrs']",False
Should I make a HotelList class?,442454,multigoodverse,99719,223,2022-11-25 15:16:25,-1,157,2,1,True,True,"['object-oriented', 'class']",False
Generic Repositories with different IDbConnections,442453,Alfons Deda,423391,31,2022-11-25 15:04:26,0,243,1,1,False,False,"['c#', 'repository-pattern']",False
Factory based on input type,442452,tim,423558,131,2022-11-25 14:41:07,2,69,0,2,False,False,['object-oriented'],False
When code review becomes a formality what procedure can I take to amend it?,442450,Qiulang 邱朗,217053,3077,2022-11-25 13:58:41,1,459,5,1,True,False,"['development-process', 'teamwork', 'code-reviews']",False
Is the BEM methodology in the large project used correctly,442448,Invalid Name,Invalid ID,Invalid Rep,2022-11-25 09:01:36,0,62,1,1,True,False,"['web-development', 'html', 'css']",False
Can functional programming languages have deadlock conditions?,442439,Quantum Guy 123,423528,181,2022-11-24 18:57:48,7,273,1,0,True,True,"['functional-programming', 'multithreading', 'concurrency', 'immutability', 'mutable']",False
Permissive vs Strict API,442437,Noel Yap,228019,181,2022-11-24 18:17:02,1,46,0,3,True,False,"['api-design', 'protobuf']",False
Which paradigm(between OOP and Functional) should be chosen for a given task?,442432,Dennis,418839,19,2022-11-24 12:20:29,-2,126,1,5,True,False,"['object-oriented', 'functional-programming']",False
Hosting/Imbedding Angular Application in ASP.NET MVC Application,442423,genichm,179687,134,2022-11-23 14:24:15,1,39,0,6,True,False,"['design', 'architecture', 'code-quality', 'clean-code']",False
How to generate a status time duration matrix from Status event log?,442419,Vivek,423476,3,2022-11-23 11:12:18,0,32,1,2,False,True,"['algorithms', 'event-sourcing']",False
Three layer architecture and using DTOs to transfer data between layers,442417,Alfons Deda,423391,31,2022-11-23 10:25:42,0,266,1,1,False,True,"['architectural-patterns', 'dto']",False
Should I favor default interface methods over extension methods?,442413,bitbonk,11332,211,2022-11-23 07:01:32,4,487,1,5,True,True,"['c#', '.net', 'api-design']",False
Should SSDP be considered as a go-to option for local network discovery in software development?,442407,Stathis91,423437,1,2022-11-22 19:00:28,0,102,1,3,True,False,"['c++', 'python', 'node.js', 'networking']",False
How to pass the entity's domain to the repository layer - clean architecture and spring JPA,442397,Adri,385571,101,2022-11-22 14:49:36,0,150,0,2,False,False,"['spring', 'clean-architecture', 'jpa']",False
How to store a fixed length array in a database,442393,RobbyG,423335,121,2022-11-22 12:55:37,10,4000,4,10,True,True,"['design', 'database-design', 'mysql']",False
Should Repositories be Responsible for Saving Related Entities?,442392,Khaled Mohamed,423421,113,2022-11-22 12:15:58,1,124,2,0,False,True,['architecture'],False
Should security and data validation be implemented within database or application?,442390,Hashir,423418,1,2022-11-22 11:54:47,0,74,3,3,False,False,"['database', 'api', 'security', 'orm']",False
Subscribe to observable inside or outside of a foreach,442388,thomaux,423412,109,2022-11-22 11:05:38,0,166,0,2,False,False,"['state', 'loops', 'redux', 'angular']",False
How is model reconstructed with event sourcing in CQRS principle?,442385,user2190492,352709,331,2022-11-21 20:50:04,1,64,1,0,True,False,"['data-structures', 'data', 'cqrs', 'event-sourcing']",False
How is my class breaking encapsulation?,442379,Ayush Kumar,423367,1,2022-11-21 12:24:05,0,226,2,0,False,False,"['object-oriented', 'encapsulation']",False
Giving multiple components access to a single database,442375,Sanath Kumar,423348,51,2022-11-21 07:31:45,4,582,4,1,False,True,"['design', 'design-patterns', 'api-design', 'microservices', 'distributed-computing']",False
"Are there advantages to using an interface, rather than a class, for a Java application?",442371,Ray Toal,58602,1265,2022-11-20 20:50:52,8,404,4,3,True,False,"['java', 'coding-style', 'coding-standards', 'class', 'conventions']",False
"If I have Object b of Class B inside Object a of Class A, which class should contain methods relating to manipulating data in Object b? [duplicate]",442370,RobbyG,423335,121,2022-11-20 20:47:45,1,34,0,2,False,False,"['design', 'object-oriented']",False
How to show C++ concept relations in UML,442369,user877329,62851,385,2022-11-20 18:07:31,0,90,0,0,True,False,"['c++', 'uml']",False
Where and if to declare Hash algorithm used,442357,yoad w,289217,101,2022-11-19 22:49:01,0,37,0,4,True,False,"['hashing', 'cryptography']",False
Pattern for flexible promotions/badges [closed],442355,Snorlax,358918,127,2022-11-19 22:18:04,-1,59,1,0,False,True,"['design', 'design-patterns', 'rules-engine']",True
What if a Repository needs to apply Business Logic to load an Aggregate?,442354,Mats,50591,163,2022-11-19 22:07:08,0,116,2,1,True,False,"['design', 'c#', 'aggregate', 'repository-pattern']",False
What approach for this kind of drawing application in C#/WPF,442353,user2190492,352709,331,2022-11-19 18:41:08,0,113,0,6,False,False,"['c#', 'requirements', 'wpf', 'ui']",False
CRC32C as hash for hashmap,442350,Niels,423293,9,2022-11-19 15:29:10,0,72,0,3,True,False,['hashtable'],False
Where should I fetch a product price to create an order in CQRS / DDD?,442349,Aleksander Chelpski,410260,130,2022-11-19 14:45:56,1,98,1,4,False,False,"['c#', 'architecture', 'domain-driven-design', 'cqrs']",False
Implementing authorization in API driven SPA app,442348,steve-robinson,83811,174,2022-11-19 14:44:34,1,16,0,1,False,False,"['api-design', 'authorization', 'rbac']",False
Can a UUID be called a constant?,442344,Clara,305816,53,2022-11-19 01:19:15,0,222,2,0,False,True,"['naming', 'coding-standards', 'variables', 'naming-standards']",False
How to have only one consumer handle a long running task at a given point?,442343,Yos,282823,165,2022-11-18 21:23:16,2,44,0,10,False,False,"['design', 'design-patterns', 'architectural-patterns', 'message-queue', 'queueing']",False
"Is Microservices a means of implementing Clean Architecture through technological constraints, just way more expensive?",442339,nepa,288750,264,2022-11-18 20:21:50,0,124,3,7,False,False,"['architecture', 'microservices', 'clean-architecture']",False
Should tags be introduced on commits still in Pull Request branches outside of main/master branch?,442334,Pedro Delfino,389411,129,2022-11-18 16:37:43,0,121,1,4,False,True,"['git', 'version-control', 'github', 'tagging']",False
Can I split a feature branch and then merge it back to the origin master branch without any issues?,442333,rsn,422793,119,2022-11-18 16:26:26,0,191,2,0,False,False,"['git', 'branching']",False
Should a LoggingHandler log?,442331,Jann Poppinga,380498,159,2022-11-18 12:58:55,1,96,1,2,False,False,"['python', 'logging']",False
